Cluster Index	Z	x	y	z	
12	4.49	27	17	13
12	4.17	33	15	15
12	4.06	23	14	13
12	4.04	34	10	16
12	3.91	36	21	13
12	3.89	27	10	16
11	5.06	26	19	20
11	4.08	27	28	26
11	3.86	28	25	19
11	3.67	24	22	23
11	3.63	27	26	24
11	3.52	27	21	23
10	4.11	34	16	9
10	3.83	46	24	8
10	3.69	41	19	7
10	3.56	47	18	11
10	3.54	31	15	9
10	3.54	48	16	10
9	5.16	39	16	20
9	4.16	39	19	21
9	3.95	40	22	20
9	3.65	40	24	20
9	3.46	37	16	20
9	3.43	38	22	22
8	4.66	38	41	19
8	3.61	38	32	21
8	3.37	37	32	25
8	3.36	40	40	21
8	3.3	38	34	19
8	3.19	38	38	19
7	4.29	38	20	29
7	3.58	38	26	25
7	3.53	40	23	28
7	3.12	40	22	31
7	3.05	37	23	28
7	2.92	42	21	29
6	5.27	25	34	22
6	4.11	28	35	23
6	3.3	28	34	21
6	3.12	27	32	20
6	3.07	25	30	22
6	2.98	29	34	19
5	4.09	23	45	20
5	3.5	25	39	19
5	3.38	23	45	22
5	3.16	27	39	21
5	2.92	27	37	21
5	2.76	27	41	19
4	3.79	22	19	7
4	2.92	26	18	6
4	2.91	21	18	10
4	2.86	24	21	7
4	2.61	25	17	8
4	2.56	26	21	8
3	3.59	28	40	26
3	3.25	29	39	24
3	3.12	27	38	25
3	3.08	30	37	26
2	3.67	23	28	17
2	3.63	21	24	18
2	3.27	21	29	16
2	3.01	20	22	17
1	3.45	41	34	23
1	3.32	42	33	21
1	2.92	39	36	22
1	2.65	43	31	23
1	2.62	42	35	21
