Cluster Index	Z	x	y	z	
12	4.49	21.4	-63.7	-22.8
12	4.17	-0.587	-71	-13.7
12	4.06	36.4	-73.4	-24.3
12	4.04	-3.94	-87.7	-11
12	3.91	-12.1	-50.8	-20.6
12	3.89	22	-87.5	-11.3
11	5.06	25.2	-59.2	12.1
11	4.08	21.1	-31.6	45.4
11	3.86	17.4	-39.3	10
11	3.67	32.5	-50.2	27.9
11	3.63	21.2	-37.5	34.7
11	3.52	21.5	-53.6	27.6
10	4.11	-4.52	-66	-42.4
10	3.83	-49.5	-39.8	-43
10	3.69	-30.7	-55.7	-50.4
10	3.56	-52.7	-60.4	-31.1
10	3.54	6.65	-69.2	-42.9
10	3.54	-56.3	-66.6	-36.8
9	5.16	-22.7	-69.4	11.4
9	4.16	-22.9	-59.8	17.6
9	3.95	-26.8	-49.7	14.1
9	3.65	-26.9	-43.2	15
9	3.46	-15.3	-69.3	11.3
9	3.43	-19.4	-50.3	23.8
8	4.66	-20.7	12.8	17.7
8	3.61	-20	-17.3	23.4
8	3.37	-16.2	-18.4	42.8
8	3.36	-28	8.86	27.1
8	3.3	-20.2	-10.1	14.5
8	3.19	-20.5	2.95	16.3
7	4.29	-19	-58.9	56.9
7	3.58	-19.5	-38.1	40.1
7	3.53	-26.7	-48.8	53.5
7	3.12	-26.5	-53	67.6
7	3.05	-15.6	-48.8	53.3
7	2.92	-33.9	-55.7	57.6
6	5.27	28	-10.7	28.5
6	4.11	16.9	-7.79	34
6	3.3	16.9	-10.5	23.8
6	3.12	20.7	-16.7	18
6	3.07	28.3	-23.8	26.7
6	2.98	13.1	-9.9	14.1
5	4.09	34.6	25.9	23.6
5	3.5	27.6	6.56	16.1
5	3.38	34.7	25.4	33.3
5	3.16	20.2	5.92	26
5	2.92	20.4	-0.626	25.1
5	2.76	20.1	13.1	17.1
4	3.79	39.7	-55.3	-51.3
4	2.92	24.9	-58.3	-56.4
4	2.91	43.5	-59.4	-37.2
4	2.86	32.1	-48.8	-50.3
4	2.61	28.7	-62.2	-47.2
4	2.56	24.7	-49.1	-45.4
3	3.59	16.6	7.68	50.8
3	3.25	12.9	4.98	40.7
3	3.12	20.4	1.46	45
3	3.08	9.4	-2.18	49.5
2	3.67	35.6	-28.8	1.39
2	3.63	43.3	-42.1	4.36
2	3.27	43	-25.2	-3.13
2	3.01	47.1	-48.3	-1.45
1	3.45	-31.2	-11.4	34.1
1	3.32	-34.9	-14.1	24
1	2.92	-24	-4.5	30.1
1	2.65	-38.4	-21.3	32.9
1	2.62	-35	-7.56	24.9
