Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
12	228	5.39e-15	14.3	4.49	27	17	13	29.1	13.7	14.3	141	33	12	14	66.6
11	149	7.43e-11	10.1	5.06	26	19	20	26.5	22.3	23.4	124	28	25	19	52.1
10	131	8.12e-10	9.09	4.11	34	16	9	42.4	17.8	9.43	101	44	13	11	57.2
9	121	3.21e-09	8.49	5.16	39	16	20	39.1	17.6	19.8	95.3	39	22	20	49.7
8	89	3.58e-07	6.45	4.66	38	41	19	38.1	38	20.4	99.2	37	32	21	49.7
7	68	1.03e-05	4.99	4.29	38	20	29	39	21.5	28	219	41	22	31	66.4
6	41	0.00143	2.85	5.27	25	34	22	26	33.4	21.2	94.1	28	34	21	48.5
5	36	0.00395	2.4	4.09	23	45	20	24.9	42.1	20.3	77.6	27	37	21	47.7
4	32	0.00924	2.03	3.79	22	19	7	23.9	18.6	7.45	73.3	22	20	8	54.1
3	31	0.0115	1.94	3.59	28	40	26	27.9	39.3	25.2	61.6	28	40	26	41.2
2	28	0.0223	1.65	3.67	23	28	17	22.2	25.9	16.7	60.6	24	27	17	43.6
1	25	0.0441	1.36	3.45	41	34	23	41.2	34.5	22.2	44.8	42	33	21	37.7
