Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	228	5.39e-15	14.3	4.49	21.4	-63.7	-22.8	14	-75	-18	141	-0.421	-80.5	-19.9	66.6
11	149	7.43e-11	10.1	5.06	25.2	-59.2	12.1	23.3	-49.3	29.9	124	17.4	-39.3	10	52.1
10	131	8.12e-10	9.09	4.11	-4.52	-66	-42.4	-35.6	-60.5	-39.1	101	-41.3	-76.6	-33.5	57.2
9	121	3.21e-09	8.49	5.16	-22.7	-69.4	11.4	-23.1	-64.1	11	95.3	-23.1	-49.7	14.1	49.7
8	89	3.58e-07	6.45	4.66	-20.7	12.8	17.7	-20.8	2.53	23.2	99.2	-16.3	-17.2	23.3	49.7
7	68	1.03e-05	4.99	4.29	-19	-58.9	56.9	-22.7	-53.6	52.7	219	-30.2	-53	67.7	66.4
6	41	0.00143	2.85	5.27	28	-10.7	28.5	24.3	-12.5	24.3	94.1	16.9	-10.5	23.8	48.5
5	36	0.00395	2.4	4.09	34.6	25.9	23.6	27.7	16.2	23.9	77.6	20.4	-0.626	25.1	47.7
4	32	0.00924	2.03	3.79	39.7	-55.3	-51.3	32.7	-56.6	-49.2	73.3	39.6	-52.3	-46	54.1
3	31	0.0115	1.94	3.59	16.6	7.68	50.8	17.2	5.48	46.6	61.6	16.6	7.68	50.8	41.2
2	28	0.0223	1.65	3.67	35.6	-28.8	1.39	38.8	-35.4	-1.24	60.6	32	-32.1	0.99	43.6
1	25	0.0441	1.36	3.45	-31.2	-11.4	34.1	-32.1	-9.62	30.7	44.8	-34.9	-14.1	24	37.7
