Cluster Index	Z	x	y	z	
16	4.21	4	12	12
16	4.05	6	2	10
16	3.73	8	16	10
16	3.73	4	-18	-18
16	3.53	16	-12	20
16	3.51	-6	10	16
15	4.68	72	-38	30
15	4.28	72	-24	36
15	4.15	56	-56	42
15	4.07	60	-56	38
15	3.88	68	-42	36
15	3.61	52	-60	46
14	4.12	46	8	56
14	3.96	48	20	50
14	3.87	50	10	44
14	3.73	50	16	48
14	3.71	54	14	48
14	3.54	50	24	42
13	3.99	-12	-48	-44
13	3.99	24	-64	-38
13	3.99	2	-76	-54
13	3.86	48	-54	-44
13	3.73	2	-70	-48
13	3.68	-2	-60	-50
12	4.26	-50	-58	32
12	3.89	-38	-68	44
12	3.84	-50	-60	46
12	3.75	-40	-68	48
12	3.44	-60	-52	42
12	3.03	-32	-54	28
11	4.08	42	58	4
11	3.81	24	64	2
11	3.8	46	52	4
11	3.66	48	50	-6
11	3.55	42	44	10
11	3.11	42	44	26
10	3.79	-38	58	4
10	3.69	-46	52	-2
10	3.68	-28	62	8
10	3.42	-44	52	-8
10	3.35	-36	62	4
10	3.17	-50	58	-2
9	3.69	-40	-62	-50
9	3.64	-34	-64	-42
9	3.33	-46	-58	-50
9	3.27	-50	-54	-40
9	3.17	-50	-66	-48
9	3.15	-40	-68	-56
8	3.54	-54	0	54
8	3.37	-46	4	60
8	3.24	-56	10	46
8	3.24	-58	4	46
8	3.09	-60	12	40
8	3.04	-32	6	60
7	3.81	70	-14	-22
7	3.44	58	-12	-8
7	3.41	60	-12	-12
7	3.37	68	-28	-20
7	3.31	66	-12	-12
7	3.23	62	-22	-6
6	3.6	2	14	56
6	3.46	-6	24	42
6	3.21	-2	26	48
6	3.19	4	40	44
6	3.01	2	34	46
6	2.99	10	16	44
5	3.52	14	-44	-14
5	3.33	14	-42	-10
5	3.02	4	-48	-2
5	2.94	10	-46	-6
5	2.76	0	-40	-4
5	2.73	14	-44	4
4	3.83	-68	-14	-12
4	3.44	-64	-24	-20
4	3.33	-66	-34	-22
4	3.14	-70	-20	-14
3	3.79	6	-12	34
3	3.42	2	-16	32
3	3.29	-4	-6	34
3	2.96	-2	-38	24
2	3.4	-6	-78	-36
2	3.17	8	-82	-28
2	2.91	-2	-82	-28
2	2.62	2	-74	-30
1	3.4	26	60	22
1	3.13	24	52	28
1	2.63	22	60	30
