Cluster Index	Z	x	y	z	
6	5.7	36.9	-3.71	51.8
6	5.62	56.5	-28.8	41.7
6	5.52	-53.1	-63.4	1.62
6	5.47	-63.6	-27.9	36.8
6	5.46	45.9	-40.1	66.3
6	5.36	-60	-32.4	44.8
5	5.6	-58	8.02	8.57
5	5.35	-46.8	48.8	17.8
5	4.76	-36.3	-2.22	15.5
5	4.42	-33.7	12	14.1
5	4.4	-39	34.5	23.7
5	4.07	-34.4	27.4	3.98
4	3.97	24.9	-35.5	-59.7
4	3.79	25.1	-44.3	-48.1
4	3.42	10.8	-46.4	-39.6
4	3.03	35.3	-35.7	-55.2
4	2.81	11.4	-52.4	-45.5
3	3.63	-35.4	-77.3	30.3
3	3.35	-24.5	-84.8	37.8
3	3.34	-45.2	-82.5	15.5
3	2.99	-20	-92.5	22.5
3	2.88	-20.4	-90.6	32
3	2.76	-31	-91.1	31.8
2	4.13	1.26	11.9	27.9
2	3.65	-8.97	8.63	22.6
2	3.44	-2.75	18.3	29.3
2	2.59	17.9	26.2	31.2
1	3.33	19.6	-68.7	-49.1
1	3.12	26.6	-69	-44.6
1	2.94	30.4	-66.8	-57.7
1	2.85	36.7	-56.4	-55.3
1	2.56	24.1	-77.1	-60
