Cluster Index	Z	x	y	z	
6	5.7	21	35	26
6	5.62	16	27	25
6	5.52	48	17	18
6	5.47	50	29	24
6	5.46	19	25	31
6	5.36	49	28	26
5	5.6	48	38	16
5	5.35	44	50	16
5	4.76	42	35	18
5	4.42	41	39	17
5	4.4	42	46	18
5	4.07	41	43	14
4	3.97	26	21	3
4	3.79	26	19	6
4	3.42	30	19	8
4	3.03	23	21	4
4	2.81	30	17	7
3	3.63	43	14	25
3	3.35	40	12	27
3	3.34	46	12	22
3	2.99	39	9	24
3	2.88	39	10	26
3	2.76	42	10	26
2	4.13	31	39	20
2	3.65	34	38	19
2	3.44	32	41	20
2	2.59	26	43	20
1	3.33	28	12	7
1	3.12	26	12	8
1	2.94	25	12	5
1	2.85	23	15	5
1	2.56	27	9	5
