Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1614	2.31e-19	18.6	4.64	2	-92	0	9.1	-80.3	-6.79	98.1	26	-72	-18	42.3
15	1495	2.68e-18	17.6	4.83	18	14	12	6.13	29.8	29.7	116	4	50	50	44.9
14	1298	1.8e-16	15.7	5.03	-24	-76	-30	-37.8	-64.3	-38.5	77.7	-46	-74	-46	37.2
13	1017	1.07e-13	13	5.22	36	46	38	39.7	48.6	30.8	149	36	48	40	54.4
12	889	2.39e-12	11.6	5.31	60	-28	-10	62.6	-42.8	-10.3	75.1	62	-28	-10	42.9
11	767	5.31e-11	10.3	4.65	32	66	0	27.7	69.1	6.34	124	20	76	10	57.7
10	657	1e-09	9	4.65	50	-60	38	51.8	-51.5	47.3	85.6	52	-62	38	45.5
9	315	3.56e-05	4.45	4.05	-10	-86	38	-9.95	-82.7	36.6	100	-2	-82	48	43.5
8	303	5.44e-05	4.26	4.48	4	-14	-14	14	-15	-9.39	58.5	16	-6	-14	35.6
7	296	6.99e-05	4.16	3.88	12	-70	44	15.3	-76	47.1	120	12	-80	52	55.6
6	265	0.000216	3.67	3.72	46	14	62	45.2	23.3	54.7	71.4	46	14	58	43.1
5	194	0.00345	2.46	4.58	26	38	-14	26.7	42.7	-15.1	69.8	26	38	-14	43.5
4	169	0.00986	2.01	4.29	-60	16	40	-61.1	13.3	37	73.7	-60	16	40	41.9
3	158	0.0159	1.8	3.94	-6	-42	-50	-3.31	-47	-52.1	58.1	2	-46	-60	39.5
2	141	0.0338	1.47	3.7	4	-34	-44	2.37	-30.2	-43.5	73.9	4	-24	-48	42.4
1	135	0.0444	1.35	3.82	-30	-56	38	-34	-55.2	38.4	58.4	-30	-56	38	39.3
