Cluster Index	Z	x	y	z	
16	4.64	2	-92	0
16	4.27	12	-66	-12
16	4.21	0	-88	-10
16	4.05	0	-94	8
16	3.99	-2	-80	-12
16	3.94	-2	-86	-28
15	4.83	18	14	12
15	4.09	18	18	4
15	4.08	2	42	26
15	3.92	4	46	24
15	3.85	2	22	38
15	3.82	4	40	36
14	5.03	-24	-76	-30
14	4.6	-44	-56	-40
14	4.46	-48	-46	-42
14	4.31	-40	-54	-34
14	4.16	-46	-74	-46
14	4.11	-46	-48	-48
13	5.22	36	46	38
13	4.31	40	60	22
13	3.8	50	46	28
13	3.7	52	46	24
13	3.65	48	50	26
13	3.51	28	68	24
12	5.31	60	-28	-10
12	4.84	60	-40	-16
12	4.12	58	-46	-8
12	3.96	56	-70	-20
12	3.89	62	-48	-4
12	3.69	66	-48	0
11	4.65	32	66	0
11	4.51	28	76	10
11	4.43	22	80	12
11	3.44	46	60	2
11	3.38	36	54	-2
11	3.17	8	72	16
10	4.65	50	-60	38
10	3.83	46	-58	48
10	3.7	56	-52	48
10	3.61	60	-52	56
10	3.56	56	-36	60
10	3.5	50	-44	58
9	4.05	-10	-86	38
9	3.49	-14	-78	30
9	3.37	-2	-82	48
9	3.37	-24	-74	32
9	3.28	2	-88	34
9	2.91	-2	-90	38
8	4.48	4	-14	-14
8	3.3	16	-6	-4
8	3.29	24	-26	-2
8	3.14	16	-10	-10
8	3.03	16	-22	-10
8	2.96	28	-32	-4
7	3.88	12	-70	44
7	3.74	12	-74	48
7	3.51	26	-82	46
6	3.72	46	14	62
6	3.51	54	16	52
6	3.22	44	34	56
6	3.06	30	36	56
6	2.85	36	36	56
6	2.79	34	32	60
5	4.58	26	38	-14
5	3.88	28	50	-12
5	3.43	22	36	-26
5	3.41	26	36	-22
4	4.29	-60	16	40
4	4.04	-62	10	32
3	3.94	-6	-42	-50
3	3.55	-2	-48	-52
3	3	0	-58	-52
3	2.97	4	-46	-60
2	3.7	4	-34	-44
2	3.22	-2	-34	-34
2	3.19	4	-28	-48
2	3.09	0	-26	-44
1	3.82	-30	-56	38
1	3.67	-34	-52	38
1	2.63	-46	-64	44
1	2.62	-30	-46	36
1	2.56	-26	-44	36
