Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	701	1.7e-13	12.8	5.09	38	45	16	40.8	40.4	9.36	95.3	37	44	15	50.1
10	621	2.27e-12	11.6	5.09	32	20	29	35.4	22	27	156	31	16	25	75.2
9	176	9.18e-05	4.04	3.79	15	46	13	25.2	42.6	11.9	64.9	34	38	10	42.7
8	160	0.000208	3.68	4.14	22	54	19	21.8	55.5	19.6	100	23	55	20	64
7	138	0.000671	3.17	4.42	48	53	18	50.2	53	18.7	91.4	49	53	18	50.5
6	96	0.00758	2.12	4.3	33	54	20	33.7	53.3	20.8	108	34	55	20	58.3
5	87	0.0133	1.88	3.79	38	46	33	36.9	43.6	31.4	101	39	46	34	55.1
4	85	0.0151	1.82	4.25	15	41	20	17.8	39.3	20.7	79.6	18	39	21	48.5
3	74	0.0308	1.51	4.52	19	33	9	19	32.3	8.88	75.3	19	32	9	49.5
2	71	0.0376	1.42	3.44	54	37	18	54.1	36.1	20.1	97.4	53	38	21	68.7
1	68	0.046	1.34	3.84	25	36	28	23.8	33.5	27.9	95.2	22	32	28	67.8
