Cluster Index	Z	x	y	z	
11	5.09	38	45	16
11	4.8	37	44	8
11	4.61	39	39	8
11	4.45	42	40	14
11	4.35	40	41	20
11	4.22	45	29	5
10	5.09	32	20	29
10	5.06	31	17	26
10	4.34	44	19	25
10	4.22	33	29	32
10	4.19	38	14	24
10	4.15	33	26	30
9	3.79	15	46	13
9	3.64	18	45	12
9	3.57	25	49	11
9	3.56	27	40	10
9	3.41	26	43	15
9	3.39	24	45	13
8	4.14	22	54	19
8	4.04	24	54	20
8	3.58	20	58	22
8	3.28	19	54	17
7	4.42	48	53	18
7	3.69	55	54	20
7	3.01	56	55	17
6	4.29	33	54	20
6	3.78	31	51	20
6	3.6	35	52	22
5	3.79	38	46	33
5	3.52	37	42	32
4	4.25	15	41	20
4	3.37	16	37	19
4	3.15	17	36	21
4	3.14	15	34	20
4	3.13	18	40	20
4	3.04	21	41	22
3	4.52	19	33	9
3	4.48	19	31	10
3	2.72	22	29	8
2	3.44	54	37	18
2	3.42	53	38	21
2	3.29	55	32	18
2	3.19	54	36	22
2	3.12	56	38	20
1	3.84	25	36	28
