Cluster Index	Z	x	y	z	
11	5.09	-5.42	-30.3	13.1
11	4.8	-2.83	-32.7	-21.5
11	4.61	-9.36	-16.7	-23.8
11	4.45	-18.6	-15.8	2.5
11	4.35	-11.6	-14.7	28.2
11	4.22	-29.2	13.1	-40.9
10	5.09	15.1	59.5	54.6
10	5.06	18.1	67.1	40.2
10	4.34	-24.3	59.4	38.6
10	4.22	12.1	32.6	72
10	4.19	-4.9	75	31.1
10	4.15	11.9	40.9	62
9	3.79	69.2	-34.7	-1.89
9	3.64	59.3	-32.3	-6.28
9	3.57	36.5	-46.1	-7.63
9	3.56	29.9	-18	-16.2
9	3.41	33.5	-24.1	6.36
9	3.39	39.9	-31.8	-1.33
8	4.14	46.9	-56.5	28.5
8	4.04	40.5	-55.8	32.9
8	3.58	53.7	-67.1	43
8	3.28	56.5	-57.7	19.6
7	4.42	-37.8	-55	26.8
7	3.69	-60.4	-57.1	36.7
7	3.01	-63.9	-62.5	24.6
6	4.29	11.2	-56.2	34
6	3.78	17.7	-46.5	32.2
6	3.6	4.87	-48.4	41.7
5	3.79	-4.01	-21.5	85.6
5	3.52	-0.854	-9.33	79.2
4	4.25	69.7	-13.7	25.2
4	3.37	66.4	-1.54	19
4	3.15	63.3	3.05	27.1
4	3.14	69.7	8.86	21.6
4	3.13	60	-10.6	25
4	3.04	50.4	-12.5	34.4
3	4.52	55.8	4.16	-25
3	4.48	55.8	11.3	-21.8
3	2.72	45.9	16.2	-31
2	3.44	-57.4	-3.82	19.4
2	3.42	-53.9	-4.88	32.5
2	3.29	-60.6	12.2	16.9
2	3.19	-57	2.22	35.8
2	3.12	-63.7	-5.71	28.6
1	3.84	37.8	7.64	57.7
