Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	701	1.7e-13	12.8	5.09	-5.42	-30.3	13.1	-15	-20.2	-17.1	95.3	-2.25	-27.7	8.19	50.1
10	621	2.27e-12	11.6	5.09	15.1	59.5	54.6	3.73	51.5	47.4	156	18	69.6	35.5	75.2
9	176	9.18e-05	4.04	3.79	69.2	-34.7	-1.89	35.8	-24.9	-7.26	64.9	7.07	-11.8	-16.4	42.7
8	160	0.000208	3.68	4.14	46.9	-56.5	28.5	47.7	-60.8	31.7	100	43.8	-59	33.3	64
7	138	0.000671	3.17	4.42	-37.8	-55	26.8	-45	-54.7	30	91.4	-41	-55.1	27	50.5
6	96	0.00758	2.12	4.3	11.2	-56.2	34	9.11	-53.3	37.1	108	7.97	-59.5	34.7	58.3
5	87	0.0133	1.88	3.79	-4.01	-21.5	85.6	-0.473	-15	77.5	101	-7.18	-20.9	89.9	55.1
4	85	0.0151	1.82	4.25	69.7	-13.7	25.2	60.6	-7.89	27.6	79.6	60.1	-6.64	28.8	48.5
3	74	0.0308	1.51	4.52	55.8	4.16	-25	55.6	6.25	-25.9	75.3	55.8	7.37	-25.5	49.5
2	71	0.0376	1.42	3.44	-57.4	-3.82	19.4	-57.5	0.551	28	97.4	-53.9	-4.88	32.5	68.7
1	68	0.046	1.34	3.84	37.8	7.64	57.7	41.8	15.7	55.8	95.2	47.6	20.6	55.3	67.8
