Cluster Index	Z	x	y	z	
10	4.2	3.23	7.55	23.9
10	4.02	31.1	1.4	27.2
10	3.67	24.7	-8.99	26.2
10	3.61	13.5	-7.33	2.45
10	3.33	20.5	-10.5	1.86
10	3.29	13.9	-5.18	17.3
9	3.65	41.2	11.5	32.8
9	3.56	42.3	5.68	61.3
9	3.52	44.7	17.6	43.1
9	3.22	44.3	18.4	33.5
9	3.15	52.7	-0.288	55.4
9	3.08	40.1	29.2	25.2
8	4.48	-43.3	-70.9	-36.9
8	3.51	-33.3	-63.7	-36.4
8	3.49	-33	-64.5	-26.8
8	2.73	-43.4	-61.5	-26.1
7	4.25	45.7	44.7	7.28
7	3.74	41.7	55.1	3.73
7	2.88	39.4	40.2	16.7
7	2.81	41.2	56.3	-10.7
6	3.52	-37.3	-70.9	45.5
6	3.41	-31	-60.1	41.7
6	3.07	-34	-64.5	51
6	3.06	-23.8	-63.7	45.9
6	3	-26.8	-71	50
6	2.59	-33.6	-77.6	44.6
5	3.96	-3.69	1.36	13.7
5	3.81	-7.01	-5.12	8.23
5	3.47	-21.1	7.48	15
5	2.81	-13.8	0.562	18.8
5	2.72	-2.93	-9.61	22.2
5	2.42	-6.26	-16.1	16.7
4	4.83	0.383	35.7	-26.3
4	4.18	3.36	43	-30.4
4	2.86	7.83	25.4	-22.8
4	2.49	17.7	33	-27.1
3	3.6	41.3	-61.2	44
3	3.21	44.1	-53.5	35.1
3	2.74	43.5	-45.9	26.2
3	2.62	40.2	-40.1	36.7
2	4.24	24	62	-4.62
1	3.45	21.4	59.8	19.5
1	2.92	24.3	64.2	10.2
1	2.59	21.8	49.7	18.4
