Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	84	4.17e-07	6.38	4.2	31	39	17	25.6	35.4	16.8	285	30	36	15	124
9	70	4.35e-06	5.36	3.65	20	40	19	19.6	41.1	21.1	368	20	39	25	154
8	53	9.64e-05	4.02	4.48	45	15	6	43.2	16.3	6.28	239	42	17	8	137
7	51	0.000142	3.85	4.25	18	49	13	18.7	50.5	12.1	240	18	52	11	151
6	50	0.000172	3.76	3.52	44	17	23	42.4	18.8	22.8	314	43	18	25	162
5	44	0.000567	3.25	3.96	33	37	15	34.8	36.1	14.8	344	33	37	15	168
4	36	0.00304	2.52	4.83	31	46	6	30.2	46.2	5.6	228	31	46	6	119
3	34	0.0047	2.33	3.6	21	19	23	21.3	20.3	22.6	242	21	18	23	140
2	29	0.0146	1.84	4.24	24	54	10	23.8	53.5	9.53	228	23	54	9	150
1	24	0.0478	1.32	3.45	25	54	15	24.4	54.3	14.4	168	22	55	14	121
