Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	84	4.17e-07	6.38	4.2	3.23	7.55	23.9	22.2	-3.85	21.1	285	6.74	-1.64	13	124
9	70	4.35e-06	5.36	3.65	41.2	11.5	32.8	42.9	14.3	43.3	368	42.3	5.68	61.3	154
8	53	9.64e-05	4.02	4.48	-43.3	-70.9	-36.9	-37.3	-66.3	-35.2	239	-33	-64.5	-26.8	137
7	51	0.000142	3.85	4.25	45.7	44.7	7.28	43.1	49.9	3.5	240	45	55.6	-1.17	151
6	50	0.000172	3.76	3.52	-37.3	-70.9	45.5	-32.2	-64.6	45.1	314	-33.6	-68.3	55.4	162
5	44	0.000567	3.25	3.96	-3.69	1.36	13.7	-9.65	-1.97	12.6	344	-3.69	1.36	13.7	168
4	36	0.00304	2.52	4.83	0.383	35.7	-26.3	3.07	36.8	-28.2	228	0.383	35.7	-26.3	119
3	34	0.0047	2.33	3.6	41.3	-61.2	44	40.1	-56.9	42.4	242	41.5	-64.6	43.6	140
2	29	0.0146	1.84	4.24	24	62	-4.62	24.7	60.5	-7.1	228	27.2	62.6	-9.52	150
1	24	0.0478	1.32	3.45	21.4	59.8	19.5	23.2	61.2	16.9	168	31.4	64	14.8	121
