Cluster Index	Z	x	y	z	
6	3.89	8.4	-70.6	-8.7
6	3.78	-20.1	-76.8	-17.8
6	3.73	15.4	-86.7	4.82
6	3.71	1.04	-79.5	-10.4
6	3.53	-9.41	-79	-9.96
6	3.42	8.43	-78.5	-1.78
5	3.99	-23.7	-70	58
5	3.67	-23.6	-59.1	51.7
5	3.56	-16.2	-54.1	56.9
5	3.1	-31.1	-67.1	45.8
5	3	-37.6	-69.4	58.6
5	2.94	-23.9	-57.3	43.4
4	3.66	18.4	-65.7	57.4
4	3.55	11.2	-56.6	46.6
4	3.55	21.4	-63.2	44.8
4	3.34	8.15	-51.2	52.3
4	3.28	18.3	-57.7	50.5
4	2.93	18.8	-56.4	59.5
3	3.94	25.9	11.8	9.26
3	3.68	29.5	18.7	6.32
3	3.32	15.3	13.1	5.6
3	3.13	18.5	2.89	7.52
3	2.92	18.2	4.65	-0.787
3	2.76	19.2	22.2	7.5
2	4.19	-12.8	-98.7	7.52
2	3.91	-19.2	-94	17.5
2	3.42	-5.99	-98.1	3.04
2	3.22	-12	-92.1	22
1	4.42	-40.6	-45.1	51.1
1	3.42	-43.6	-47.6	63.8
