Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	1128	0	52.2	5.32	5.86	51.1	46.5	17.5	45.2	26.5	356	-0.8	46.8	51	83.5
12	682	2.54e-37	36.6	5.06	56.1	-27.6	-9.24	16.2	-64.2	-20.5	175	51.8	-71.2	-19.5	63
11	171	1.05e-13	13	5.32	53.6	-61.7	37.9	45.3	-62.8	44.9	188	40.4	-67.4	56.6	82.4
10	124	1.07e-10	9.97	4.82	1.73	-37.7	44.3	2.35	-34.1	36.6	124	1.73	-37.7	44.3	63.9
9	104	2.63e-09	8.58	4.55	-34.6	-76.3	50.7	-40.2	-69.1	50.6	226	-34.6	-73.1	55.8	87.5
8	76	3.58e-07	6.45	4.84	7.96	-13.2	-18.4	15.2	-15.6	-10.6	87.5	20.1	-25.1	-6.69	54.7
7	73	5.96e-07	6.22	4.3	2.14	-38.2	-30.7	-2.05	-42.6	-44.9	116	2.14	-38.2	-30.7	57.5
6	52	3.64e-05	4.44	4.55	-39.4	60.4	13.1	-41.3	59.5	4.91	156	-43.9	65.2	-0.0341	74.6
5	52	3.64e-05	4.44	4.26	39.3	-68.2	-55.8	41	-63.9	-49.8	146	41.8	-53.5	-54	60.7
4	47	0.000105	3.98	4.46	-41	37.6	19.5	-48	38.9	21.6	112	-41	37.6	19.5	66.8
3	32	0.00324	2.49	4.19	-31.3	33.5	-14.4	-34.5	30.3	-7.72	103	-48.2	24.8	-5.17	62.8
2	31	0.00414	2.38	4.2	-22.2	62.3	-1.77	-24.9	57.6	-8.12	106	-25.8	62.1	-1.56	62.4
1	30	0.0053	2.28	4.08	-57.5	-45.4	-9.32	-55.1	-48	-13.9	99.1	-56.9	-62.4	-25.7	57.7
