Cluster Index	Z	x	y	z	
13	5.32	31	47	21
13	5.3	25	47	19
13	5.24	29	44	14
13	5.13	26	51	16
13	5.1	25	47	17
13	5.1	32	45	16
12	5.06	18	24	12
12	5.04	19	12	11
12	5.04	48	13	4
12	4.91	35	6	16
12	4.82	18	18	13
12	4.82	47	11	4
11	5.32	20	16	23
11	4.53	19	19	25
11	4.51	20	20	23
11	4.13	28	11	25
11	3.66	25	15	27
11	3.65	19	24	27
10	4.82	34	23	23
10	4.46	33	26	20
10	4.26	36	21	22
10	4.12	34	22	25
10	3.81	35	26	21
10	3.66	35	29	19
9	4.55	45	13	25
9	4.38	48	18	27
9	4.18	49	15	23
9	4.13	47	16	26
9	3.79	42	14	27
9	3.69	43	12	25
8	4.84	31	28	9
8	4.33	29	26	11
8	4.04	25	26	9
8	3.66	27	24	13
8	3.33	28	31	9
8	3.28	29	33	12
7	4.3	33	21	7
7	4.29	32	22	4
7	3.99	35	20	3
7	3.84	35	16	2
7	3.78	37	20	3
7	3.41	39	21	3
6	4.55	43	49	13
6	3.9	41	49	13
6	3.75	43	47	11
6	3.65	46	47	9
6	3.64	46	50	10
5	4.25	23	12	3
5	4.21	24	12	5
5	4.16	21	16	4
5	3.6	24	15	5
5	3.55	19	17	5
4	4.46	44	43	15
4	3.83	47	45	16
4	3.77	49	45	15
4	3.33	45	40	14
4	3.24	46	43	17
4	3.14	48	43	17
3	4.19	41	41	8
3	3.55	41	44	9
3	3.47	41	37	11
3	3.44	41	39	11
3	2.85	46	39	10
2	4.2	38	49	10
2	3.53	39	43	7
2	2.83	38	46	7
1	4.08	50	20	11
1	3.98	50	18	10
1	3.55	47	23	11
1	3.52	51	15	9
1	3	47	22	13
