Cluster Index	Z	x	y	z	
13	5.32	5.86	51.1	46.5
13	5.3	26.9	52.6	36.1
13	5.24	12.2	43.3	12.3
13	5.13	21.6	68.4	24.5
13	5.1	26.4	53.5	26.8
13	5.1	1.65	45.8	22.7
12	5.06	56.1	-27.6	-9.24
12	5.04	55.4	-71.1	-19.7
12	5.04	-50.1	-67.8	-45.5
12	4.91	0.892	-96.9	3.6
12	4.82	57.9	-49.9	-7.66
12	4.82	-46	-75	-46.8
11	5.32	53.6	-61.7	37.9
11	4.53	56.8	-51.4	48.4
11	4.51	52.5	-47.1	39.9
11	4.13	26.7	-81.7	46.2
11	3.66	36.9	-67.6	56.8
11	3.65	56	-34	60.1
10	4.82	1.73	-37.7	44.3
10	4.46	3.85	-25.4	31.7
10	4.26	-5.14	-44.8	39
10	4.12	2.45	-42.2	53
10	3.81	-3.07	-26	36.8
10	3.66	-4.3	-14.2	29
9	4.55	-34.6	-76.3	50.7
9	4.38	-46.1	-59.2	63
9	4.18	-49.8	-68.6	43.3
9	4.13	-42.3	-66	57.2
9	3.79	-23.6	-73.1	59.8
9	3.69	-27.2	-79.7	49.8
8	4.84	7.96	-13.2	-18.4
8	4.33	16.1	-21.1	-10.6
8	4.04	29.9	-19.8	-20.6
8	3.66	24.2	-29	-2.79
8	3.33	17.9	-1.92	-17.5
8	3.28	14.5	4.01	-2.45
7	4.3	2.14	-38.2	-30.7
7	4.29	4.77	-33.1	-44.3
7	3.99	-5.68	-40.3	-49.3
7	3.84	-4.89	-54.5	-55.9
7	3.78	-12.8	-40.6	-48.9
7	3.41	-20.2	-37.1	-48
6	4.55	-39.4	60.4	13.1
6	3.9	-32.2	60.7	12.7
6	3.75	-39.3	54	2.86
6	3.65	-50.5	54.5	-5.75
6	3.64	-51.1	65	0.375
5	4.25	39.3	-68.2	-55.8
5	4.21	36.2	-69.2	-46.4
5	4.16	45.6	-53.8	-49.6
5	3.6	35.4	-58.2	-44.8
5	3.55	52.7	-50.3	-44.9
4	4.46	-41	37.6	19.5
4	3.83	-52	44.1	25.7
4	3.77	-59.4	44.3	21.5
4	3.33	-44	26.9	13.6
4	3.24	-47.7	36.5	29.1
4	3.14	-54.8	36.3	29.5
3	4.19	-31.3	33.5	-14.4
3	3.55	-31.9	44.1	-8.29
3	3.47	-29.6	17.7	-2.59
3	3.44	-30.1	25	-1.58
3	2.85	-48.2	24.8	-5.17
2	4.2	-22.2	62.3	-1.77
2	3.53	-24.9	41.5	-18.4
2	2.83	-22.1	52.6	-17.1
1	4.08	-57.5	-45.4	-9.32
1	3.98	-57.2	-52.3	-14.9
1	3.55	-47.5	-34.1	-8.42
1	3.52	-60.2	-62.9	-20.9
1	3	-46.8	-38.6	0.294
