Cluster Index	Z	x	y	z	
11	4.22	6.45	22.6	20.9
11	4.07	9.26	35.5	23.2
11	4.06	-1.81	50.7	27
11	4.05	-21.4	32.7	30
11	4.02	0.371	16.4	34.8
11	3.75	2.03	39.1	19.6
10	3.97	28.4	21	52.9
10	3.95	36.9	44.1	37.2
10	3.92	38.2	21.1	37.6
10	3.92	20.3	38.2	47.1
10	3.75	34.9	27.8	53.7
10	3.64	27.9	30.5	54.8
9	3.87	32.8	26.3	-9.58
9	3.77	39.7	26.7	-10
9	3.3	57.6	19.7	-3.08
9	3.27	43.8	16.6	-7.46
9	2.87	39	37.1	-12.9
9	2.65	52.5	38.8	-18.5
8	3.97	6.4	-29.4	35.3
8	3.65	5.2	-61.6	48.6
8	3.44	0.575	-44.3	42.6
8	3.29	7.49	-51.6	30.9
8	3.19	-7.02	-36.6	34.9
8	2.93	3.64	-50.1	21.8
7	4.04	52	-45.7	28.5
7	3.69	66	-51.2	26.4
7	3.38	52.9	-62.4	30.1
7	3.19	56.1	-45.8	47.6
7	3.04	48.9	-47.6	38.1
7	3.04	55.5	-51	22.4
6	4.04	-58.9	-45.9	17.8
6	3.2	-32.2	-28.4	19.1
6	3.05	-39.2	-25.6	20.2
6	3.04	-38.8	-35.1	18.3
6	2.87	-49.5	-26.2	20.9
6	2.75	-61.8	-55.6	16.2
5	3.61	35.9	43	7.95
5	3.32	18.3	59.2	22.2
5	3.27	29.1	54.9	30.2
5	3.1	31.9	55.4	10.7
5	2.88	25	55	11.1
5	2.86	22.2	49.9	20.1
4	3.67	-56.9	-29.6	1.37
4	3.15	-57.6	-21.5	-6.74
4	3.04	-53.9	-27.6	-8.21
4	2.86	-62.2	-9.64	-18.7
4	2.66	-55.2	-6.9	-13.8
4	2.43	-59.5	-1.37	-27
3	3.42	-69.5	-40.2	19.8
3	3.41	-58.6	-42.1	33.1
3	3.34	-61.5	-41.8	48
3	3.29	-68.5	-46.8	37.8
3	2.96	-69	-37.3	39.7
2	4.64	-28.8	21.6	-0.749
2	3.6	-29.2	23.3	-10.1
2	3.48	-28.9	17	-11.3
2	2.8	-39.5	22.7	-9.41
2	2.48	-33.1	32.6	-8.01
1	3.77	36.1	-17.8	15.7
1	3.18	35.9	-19.2	5.74
1	2.89	35.2	-8.83	2.92
1	2.84	46.9	-26.6	13.2
1	2.72	42.7	-18.8	5.27
1	2.4	28.5	-12.4	2.76
