Cluster Index	Z	x	y	z	
11	4.22	32	42	17
11	4.07	31	46	17
11	4.06	34	51	17
11	4.05	40	46	18
11	4.02	34	41	20
11	3.75	33	47	16
10	3.97	26	43	24
10	3.95	23	49	20
10	3.92	23	42	21
10	3.92	28	48	22
10	3.75	24	45	24
10	3.64	26	46	24
9	3.87	24	41	11
9	3.77	22	41	11
9	3.3	17	39	13
9	3.27	21	38	12
9	2.87	22	44	10
9	2.65	18	44	9
8	3.97	33	27	22
8	3.65	34	18	26
8	3.44	35	23	24
8	3.29	33	20	22
8	3.19	37	25	22
8	2.93	34	20	20
7	4.04	20	21	22
7	3.69	16	19	22
7	3.38	20	16	23
7	3.19	19	22	26
7	3.04	21	21	24
7	3.04	19	19	21
6	4.04	52	22	18
6	3.2	44	27	18
6	3.05	46	28	18
6	3.04	46	25	18
6	2.87	49	28	18
6	2.75	53	19	18
5	3.61	23	47	14
5	3.32	28	53	16
5	3.27	25	52	18
5	3.1	24	51	14
5	2.88	26	51	14
5	2.86	27	50	16
4	3.67	51	26	14
4	3.15	51	28	12
4	3.04	50	26	12
4	2.86	52	31	9
4	2.66	50	32	10
4	2.43	51	33	7
3	3.42	55	24	18
3	3.41	52	24	21
3	3.34	53	25	24
3	3.29	55	23	22
3	2.96	55	26	22
2	4.64	42	41	12
2	3.6	42	41	10
2	3.48	42	39	10
2	2.8	45	41	10
2	2.48	43	44	10
1	3.77	24	29	18
1	3.18	24	28	16
1	2.89	24	31	15
1	2.84	21	26	18
1	2.72	22	28	16
1	2.4	26	30	15
