Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	230	4.08e-15	14.4	4.22	32	42	17	33.5	46.7	16.2	976	29	54	18	411
10	220	1.28e-14	13.9	3.97	26	43	24	25.9	45.5	22.5	934	30	49	24	418
9	83	9.54e-07	6.02	3.87	24	41	11	21.5	40.1	11.6	706	23	41	11	391
8	70	7.93e-06	5.1	3.97	33	27	22	33.9	22.1	22.9	663	35	20	20	370
7	70	7.93e-06	5.1	4.04	20	21	22	19.1	19.3	23.3	690	20	15	24	371
6	39	0.00238	2.62	4.04	52	22	18	48.3	25.4	17.8	574	53	22	18	320
5	38	0.00293	2.53	3.61	23	47	14	25.8	50.8	15.5	636	25	53	18	395
4	37	0.0036	2.44	3.68	51	26	14	51.2	28.3	11.8	480	51	26	14	317
3	29	0.0202	1.7	3.42	55	24	18	53.8	24.2	21.6	605	54	26	24	386
2	28	0.0253	1.6	4.64	42	41	12	42.9	41	11.1	575	47	41	10	354
1	27	0.0317	1.5	3.77	24	29	18	23.3	28.5	16.5	455	20	27	18	330
