Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	230	4.08e-15	14.4	4.22	6.45	22.6	20.9	0.415	37.9	20.5	976	15.1	60.4	32.4	411
10	220	1.28e-14	13.9	3.97	28.4	21	52.9	28	30.3	47.6	934	13.7	39.2	57.6	418
9	83	9.54e-07	6.02	3.87	32.8	26.3	-9.58	41.7	23.5	-7.72	706	36.2	26.5	-9.81	391
8	70	7.93e-06	5.1	3.97	6.4	-29.4	35.3	4.39	-45.9	36.5	663	0.205	-50.3	22	370
7	70	7.93e-06	5.1	4.04	52	-45.7	28.5	55.6	-52	33.5	690	53.3	-66.4	34.2	371
6	39	0.00238	2.62	4.04	-58.9	-45.9	17.8	-46.8	-34.2	18	574	-62.3	-46.1	18.1	320
5	38	0.00293	2.53	3.61	35.9	43	7.95	25.9	53.2	18.1	636	29	58.1	30.8	395
4	37	0.0036	2.44	3.68	-56.9	-29.6	1.37	-58.4	-20.5	-7.23	480	-56.9	-29.6	1.37	317
3	29	0.0202	1.7	3.42	-69.5	-40.2	19.8	-64.5	-42.5	36.6	605	-65.1	-38.8	48.8	386
2	28	0.0253	1.6	4.64	-28.8	21.6	-0.749	-31.9	22.2	-4.58	575	-46.3	22.3	-8.95	354
1	27	0.0317	1.5	3.77	36.1	-17.8	15.7	38.2	-18	8.2	455	50.2	-23.2	13.5	330
