Cluster Index	Z	x	y	z	
5	5.36	49.6	-19.8	-10.5
5	4.99	44.9	20.8	-41.3
5	4.94	62.6	5.48	-20.5
5	4.82	63.2	-18.6	-6.51
5	4.3	31.3	23.7	-41.7
5	4.12	45.1	27.7	-24.8
4	5.22	13.6	-49.1	32
4	4.28	3.72	-53.1	46.4
4	4.16	-6.39	-60.7	43.7
4	3.7	7.11	-69.5	31.9
4	3.68	-13.7	-46.5	31.9
4	3.09	13.6	-73	14.7
3	4.65	50.9	-48.1	31.2
3	4.54	40.6	-49.3	27.1
3	4.36	7.86	-80.3	61
3	4.2	44.6	-66.8	39.7
3	3.3	24.7	-77.5	55.7
3	2.98	54.7	-42.7	56.8
2	4.66	-66	-4.74	-2.74
2	4.35	-62.1	-27.3	1.91
2	4.04	-52.9	4.92	-22.9
2	4.01	-40	30.2	-32.9
2	3.69	-62.4	-18.5	-4.4
2	3.48	-52.1	-25.6	-7.55
1	5.37	-40.7	-57.8	30.3
1	4.42	-47.1	-78.3	30.2
1	3.7	-50.7	-52.1	42.7
1	3.43	-40	-81.9	44.3
1	3.13	-50.4	-51.8	60.5
