Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
23	256	6.33e-17	16.2	4.08	38	13	14	32.7	11.2	15.3	653	27	7	17	214
22	127	6.46e-10	9.19	4.45	36	14	30	31.8	20.7	30.9	853	30	27	33	282
21	99	5.96e-08	7.22	3.87	36	43	15	33.4	40.9	15.9	278	31	38	15	145
20	88	2.38e-07	6.62	4.1	22	11	14	20.6	11.9	10.9	406	23	12	14	158
19	83	5.36e-07	6.27	4.05	21	51	19	21.7	50.1	16.9	464	23	53	18	188
18	71	3.87e-06	5.41	4.05	37	53	19	41.3	50.4	18.1	564	35	53	19	204
17	66	9.36e-06	5.03	3.79	33	38	24	31.1	40.2	22.1	317	31	39	23	167
16	64	1.34e-05	4.87	4.06	31	30	20	31.7	31	18.5	453	32	31	18	223
15	58	3.96e-05	4.4	4.54	41	24	5	41.4	23.2	4.77	1.18e+03	35	24	3	257
14	56	5.75e-05	4.24	4.03	48	17	5	47.9	17.8	8.4	247	47	20	11	129
13	54	8.37e-05	4.08	4.92	39	48	11	38.4	48	10.7	527	39	53	11	201
12	46	0.000395	3.4	3.89	29	15	5	26.8	13.3	6.83	168	21	16	6	109
11	45	0.000483	3.32	4.58	25	37	21	25.6	34.5	20.9	262	27	32	21	133
10	45	0.000483	3.32	3.85	18	36	14	17.5	38.1	13	395	15	39	13	183
9	44	0.000591	3.23	4.07	31	27	27	32.2	26.4	27.8	296	31	26	28	156
8	38	0.00205	2.69	4.72	25	46	10	25.1	45.9	9.96	330	25	48	9	164
7	37	0.00254	2.6	3.78	48	15	16	48.6	15.7	15.8	305	47	15	14	163
6	30	0.0119	1.92	4.15	26	42	28	25	40.4	27.9	445	27	43	28	224
5	29	0.015	1.82	3.48	36	9	9	37.4	10.7	7.79	157	38	11	7	106
4	28	0.0189	1.72	3.51	40	20	32	38.5	21.8	32	542	38	24	33	259
3	27	0.0239	1.62	3.59	24	21	17	24	20.8	19	161	25	20	20	117
2	26	0.0303	1.52	3.67	40	23	22	38.5	23.5	20.7	190	37	24	20	136
1	24	0.049	1.31	3.92	40	35	22	39.1	34.2	21.8	179	36	33	21	106
