Cluster Index	Z	x	y	z	
23	4.08	-15.7	-72.8	-18.7
23	4.01	9.86	-80.5	-24.7
23	3.9	-2.43	-66.5	-8.18
23	3.85	0.125	-56.9	-1.57
23	3.81	17.8	-95.4	-14.3
23	3.8	-19.6	-65.1	-26.1
22	4.45	-10.6	-79.4	52.4
22	4.42	3.09	-36.1	70.8
22	3.74	9.3	-65.3	60.1
22	3.69	-5.45	-60.2	65.6
22	3.53	-4	-71.6	49.6
22	3.53	10.9	-80.7	47.7
21	3.87	-17.4	27.2	7.33
21	3.73	-16.4	7.89	21.3
21	3.69	-13.2	21.4	1.58
21	3.55	-20.5	24.9	-2.23
21	3.48	18.4	18.2	14.7
21	3.39	-31.8	29.6	7.76
20	4.1	41.1	-75.7	-19
20	4.02	51.1	-63.1	-29.8
20	3.39	45.8	-78.3	-46.7
20	3.27	55.8	-76.2	-32.6
20	3.25	54.3	-54.9	-37.1
20	2.81	44.6	-65.6	-39.4
19	4.05	32.6	54.8	31.7
19	3.88	25.1	61.7	28.6
19	3.61	27.4	35	22.8
19	3.39	36	64.3	15.6
19	3.27	26.6	45	25
19	3.16	40	57.2	18.6
18	4.05	-24.2	57.7	32
18	3.9	-37.7	55.4	17.8
18	3.54	-38	53.5	31
18	3.38	-44.2	48.3	16.2
18	3.37	-41.3	59.8	9.67
18	3.2	-50.3	27.9	34.5
17	3.79	-6.33	5.35	43.5
17	3.55	2.79	22.7	47.3
17	3.54	-3.47	22.2	24.5
17	3.41	3.75	13.4	40.7
17	3.24	-7.56	28.6	25.8
17	2.96	0.818	11.8	26.8
16	4.05	3.41	-18.3	20.3
16	3.28	-0.388	-9.9	8.52
16	3.17	-7.71	-7.03	9.09
16	3.16	9.59	-2.53	10.2
16	3.05	-11.4	-8.57	17.8
16	3.02	-3.24	-21.5	15.1
15	4.54	-28.6	-30.9	-50.5
15	4.25	-35.2	-34.1	-55.8
15	3.72	-41.8	-41.9	-52.9
15	3.46	-46.6	-29.4	-45.8
15	2.94	-14.6	-25.3	-58.3
15	2.89	-6.97	-31.6	-59.6
14	4.03	-51.2	-55.9	-56
14	3.24	-59.1	-57	-29.1
14	3.13	-56.2	-50	-27.6
14	2.98	-52.4	-48.5	-36.3
14	2.82	-53.4	-39.1	-29.8
14	2.81	-41.3	-54.5	-37.5
13	4.92	-29	45.8	-6.86
13	3.76	-24.1	69	2.68
13	3.38	-27.4	30.4	-19.2
13	2.9	-43.3	48.8	-10.8
13	2.79	-27	62.7	-3.21
12	3.89	16.3	-58.2	-56.1
12	3.75	16.5	-66.8	-44.4
12	3.55	23.6	-66.3	-44.2
12	3.5	30.1	-58.5	-47
12	3.37	44.3	-56.9	-51.1
12	3.2	20.5	-68.6	-53.8
11	4.58	22.4	5.83	30.1
11	3.95	30.3	-3.72	28.1
11	3.7	19.4	3.55	20.6
11	3.64	20.2	-11.7	30.9
11	3.41	16.9	-10.7	22
11	3.14	21.5	15.8	32.3
10	3.85	48	8.67	-0.795
10	3.14	50.8	24.9	-15.4
10	3.01	36.2	20.7	6.24
10	2.94	47.2	18.7	1.35
10	2.86	61.6	16.9	-3.47
10	2.83	50.9	20.2	-7.35
9	4.07	3.58	-32.9	48.9
9	3.82	-6.88	-38.2	56.7
9	3.21	-6.97	-33.6	48.7
8	4.72	20.9	43	-11.7
8	4.12	20.4	50.3	-14.6
8	3.4	19.5	59.7	-8.11
7	3.78	-51.7	-69.8	-9.17
7	3.54	-52.1	-61.8	-16.5
7	3.27	-52	-71.7	4
7	3.18	-47.3	-74.2	-23.7
7	3.01	-59.7	-60.9	-2.78
6	4.15	16.8	17.7	64.4
6	3.04	28.5	5.09	61.7
5	3.48	-7.05	-82.4	-43.3
5	3.38	-14.8	-71.6	-50.1
5	3.18	-25.6	-68.9	-49.6
5	2.8	-7.72	-76.4	-37.5
4	3.51	-26.6	-61.6	65.2
4	3.38	-17.5	-44.8	73.4
4	3.2	-10.2	-47.7	72.8
4	2.85	-15.3	-66.9	59.6
3	3.59	30.9	-44.8	1.21
3	3.41	28	-57	12.2
3	3.34	30.3	-38.7	7.03
3	3.2	27.4	-50.3	13.6
3	2.88	33.2	-31.8	8.53
3	2.47	37.1	-39.6	16
2	3.67	-26.4	-45.1	23.5
2	3.6	-16	-39.7	15.6
2	3.33	-19	-47.3	18.5
2	2.83	-8.84	-38.6	11.4
1	3.92	-29.9	-5.01	32
1	2.87	-15.1	-10.1	26.5
1	2.5	-29.1	-15.7	34.3
