Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	256	6.33e-17	16.2	4.08	-15.7	-72.8	-18.7	3.45	-78.2	-14.1	653	24.4	-92.2	-9.02	214
22	127	6.46e-10	9.19	4.45	-10.6	-79.4	52.4	2.19	-56.7	61.3	853	6.51	-36.5	75.3	282
21	99	5.96e-08	7.22	3.87	-17.4	27.2	7.33	-7.62	20.1	10.1	278	1.6	11.7	4.11	145
20	88	2.38e-07	6.62	4.1	41.1	-75.7	-19	46	-70.4	-31.6	406	37.3	-72.6	-18.3	158
19	83	5.36e-07	6.27	4.05	32.6	54.8	31.7	30.7	52.9	21.5	464	25.1	61.7	28.6	188
18	71	3.87e-06	5.41	4.05	-24.2	57.7	32	-38.4	48.7	26	564	-17.2	58.2	32.1	204
17	66	9.36e-06	5.03	3.79	-6.33	5.35	43.5	-0.188	14.5	36.9	317	0.521	9.8	39.9	167
16	64	1.34e-05	4.87	4.06	3.41	-18.3	20.3	0.678	-14.1	14.2	453	-0.199	-13.9	12.2	223
15	58	3.96e-05	4.4	4.54	-28.6	-30.9	-50.5	-29.8	-33.5	-52.1	1.18e+03	-7.26	-28.2	-58.9	257
14	56	5.75e-05	4.24	4.03	-51.2	-55.9	-56	-51.3	-55.6	-40.5	247	-49.1	-49.6	-27.5	129
13	54	8.37e-05	4.08	4.92	-29	45.8	-6.86	-27	46.1	-8.24	527	-30.5	62.5	-3.28	201
12	46	0.000395	3.4	3.89	16.3	-58.2	-56.1	24.3	-64.4	-49.1	168	44	-53.6	-50.4	109
11	45	0.000483	3.32	4.58	22.4	5.83	30.1	20.9	-2.45	27.9	262	16.8	-11.3	26.4	133
10	45	0.000483	3.32	3.85	48	8.67	-0.795	49.4	16.6	-3.51	395	57.8	20	-2.82	183
9	44	0.000591	3.23	4.07	3.58	-32.9	48.9	-0.584	-35.8	51.9	296	3.77	-36.8	52.6	156
8	38	0.00205	2.69	4.72	20.9	43	-11.7	20.7	42.6	-12	330	20.4	50.3	-14.6	164
7	37	0.00254	2.6	3.78	-51.7	-69.8	-9.17	-54.1	-67.5	-9.4	305	-48	-68.2	-17.9	163
6	30	0.0119	1.92	4.15	16.8	17.7	64.4	20.7	12.6	62.7	445	13	20.8	65	224
5	29	0.015	1.82	3.48	-7.05	-82.4	-43.3	-12.4	-76.3	-47.5	157	-14.5	-74.9	-50.8	106
4	28	0.0189	1.72	3.51	-26.6	-61.6	65.2	-21.8	-55.3	66.8	542	-20.8	-48.4	72.6	259
3	27	0.0239	1.62	3.59	30.9	-44.8	1.21	30.7	-46.7	10	161	27.4	-50.3	13.6	117
2	26	0.0303	1.52	3.67	-26.4	-45.1	23.5	-21	-42.1	18.3	190	-16	-39.7	15.6	136
1	24	0.049	1.31	3.92	-29.9	-5.01	32	-26.4	-7.35	30.8	179	-15.1	-10.1	26.5	106
