Cluster Index	Z	x	y	z	
15	5.57	-46.8	-63.3	44.9
15	5.45	-1.63	-76.9	46.4
15	5.19	-47.7	-75.8	37.5
15	5.07	4.37	-87.9	7.42
15	4.97	-50.1	-57.4	32.5
15	4.95	23.8	-65.5	30.9
14	5.15	26.7	30.4	57.5
14	4.72	45.4	52.5	3.22
14	4.71	42.3	59.4	4.79
14	4.24	44	26.4	33.8
14	4.2	50.6	17.8	40.9
14	4.16	1.82	30.2	48.2
13	5.76	72.6	-24.4	35.9
13	4.95	49.8	-46.4	30.8
13	4.76	67.9	-41.6	36.5
13	4.65	59.5	-61.9	36.4
13	4.6	56.4	-55.8	42.3
13	4.55	67.7	-42.6	22.5
12	4.51	-59.8	11.5	39.2
12	4.45	-56.5	6.41	47.2
12	4.22	-49.2	11.6	34.7
12	4.2	-45.9	3.43	60.2
12	4.19	-38.8	2.98	60.1
12	3.79	-56.9	-2.54	58.8
11	5.13	-39.4	57.2	8.62
11	4.13	-46.8	52.5	-1.6
11	3.91	-48	35.9	-5.42
11	3.81	-43.3	53.8	-10.4
11	3.78	-58.6	35.8	-0.9
11	3.77	-25.2	58.6	-4.72
10	4.86	65.8	-11.4	-16
10	4.26	57.2	-34.3	-21.2
10	4.1	61.2	-27.8	-19.7
10	4.05	50.6	-26.4	-24
10	4.02	68.3	-28.3	-19.8
10	3.93	55.7	-2.59	-23.1
9	4.31	-53	17.5	-37.1
9	4.31	-13.8	17.8	-14
9	4.14	-22.4	-1.19	-41.3
9	3.82	-11.1	6.57	-30.3
9	3.7	-38.3	24.2	-21.8
9	3.62	0.803	25.1	-21.5
8	4.55	1.32	-29.1	30
8	4.46	-0.638	-5.64	35.4
8	4.29	2.22	-15.8	33.1
8	3.17	8.62	-24.7	21.9
8	2.75	-8.61	-20	41.2
8	2.64	-9.03	-23.6	22.1
7	5.53	-62.6	-23.3	-19
7	4.61	-63.3	-34	-16.9
7	4.44	-69	-13.6	-12.3
7	4.35	-56	-31.1	-16.3
7	4.19	-65.7	-18.7	-4.29
7	2.91	-55.1	-17.8	-13.2
6	4.21	-11.4	-50.2	-43.3
6	4.2	-7.2	-40.4	-41.1
6	3.42	-0.817	-51.6	-39.1
6	3.23	28.1	-42.7	-41.5
6	3.21	17.1	-48.6	-42.9
6	3.09	4.06	-31.9	-34.5
5	3.87	3.83	12	12.1
5	3.61	-3.24	11.7	16.6
5	3.31	3.37	4.63	14.9
5	2.53	-6.75	14.3	3.43
5	2.45	18.4	17.8	13.4
4	3.76	13.3	-2.18	-9.42
4	3.76	5.16	-17.6	-17.5
4	3.51	-15.8	-9.82	-34.1
4	3.37	5.37	-15.8	-8
4	3.12	-12.9	-21.6	-27.6
4	2.87	-6.09	-25.3	-28.5
3	3.66	37.8	-57.4	-40.3
3	3.49	30.5	-59.5	-45.4
3	3.28	29.8	-72.6	-30.1
3	3.26	26.7	-64.1	-37.3
3	2.82	48.6	-54	-44.1
3	2.63	36.7	-76.3	-30.9
2	3.55	-34.5	-83.8	-0.893
2	3.42	-41.3	-80.8	4.35
2	3.23	-48.3	-78.8	-4.35
1	3.78	-33.7	-66.2	-42.5
1	3.61	-40.8	-64.2	-51.2
1	3.23	-26.4	-62.5	-46.2
1	3.02	-26	-56.7	-40.3
1	2.95	-40.3	-60.6	-32.1
