Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
15	950	2.86e-39	38.5	5.57	44	20	25	35.5	18	21.1	332	41	18	26	87
14	903	6.64e-38	37.2	5.15	25	49	23	24.7	47.9	16.1	243	31	50	24	93.4
13	278	2.65e-16	15.6	5.76	11	33	21	14.8	25.7	22.1	292	16	23	25	101
12	270	5.92e-16	15.2	4.51	49	41	20	44.7	41.4	22.5	228	47	43	22	86.1
11	243	9.48e-15	14	5.13	44	53	11	43.8	50.4	9.76	208	46	51	9	84.9
10	226	5.73e-14	13.2	4.86	13	34	9	14.1	33	8.63	130	13	34	11	64.3
9	141	1.03e-09	8.99	4.31	47	39	3	41.1	40.1	5.52	259	35	38	3	81.5
8	114	5.96e-08	7.22	4.55	31	30	20	31.4	31.7	20	237	31	30	20	89.1
7	89	1.13e-06	5.95	5.53	49	28	9	49.7	28.5	10.2	140	51	30	13	63.5
6	85	2.03e-06	5.69	4.21	34	20	5	31	21.5	5.08	107	34	20	5	60.6
5	52	0.000403	3.39	3.87	31	41	14	30.8	40.2	14.2	192	31	39	15	95.3
4	52	0.000403	3.39	3.76	30	31	9	31.4	32.1	8.53	167	35	32	5	69.1
3	50	0.000573	3.24	3.66	20	19	6	21.4	17.1	6.66	75.7	23	17	7	53.4
2	34	0.0116	1.94	3.55	40	12	16	41.5	12	16.4	162	40	12	16	67.2
1	33	0.0142	1.85	3.78	40	15	6	40.1	16	5.76	91.3	40	15	6	54.9
