Cluster Index	Z	x	y	z	
15	5.57	44	20	25
15	5.45	31	17	26
15	5.19	44	16	24
15	5.07	29	12	18
15	4.97	45	21	22
15	4.95	24	20	22
14	5.15	25	49	23
14	4.72	20	53	10
14	4.71	21	55	10
14	4.24	20	47	18
14	4.2	18	45	20
14	4.16	32	48	21
13	5.76	11	33	21
13	4.95	17	26	21
13	4.76	12	28	22
13	4.65	14	22	23
13	4.6	15	24	24
13	4.55	12	27	19
12	4.51	49	41	20
12	4.45	48	40	22
12	4.22	46	41	19
12	4.2	45	40	25
12	4.19	43	40	25
12	3.79	48	38	25
11	5.13	44	53	11
11	4.13	46	51	9
11	3.91	46	46	9
11	3.81	45	51	7
11	3.78	49	46	10
11	3.77	40	53	8
10	4.86	13	34	9
10	4.26	15	27	9
10	4.1	14	29	9
10	4.05	17	29	8
10	4.02	12	29	9
10	3.93	16	36	7
9	4.31	47	39	3
9	4.31	36	41	8
9	4.14	38	34	3
9	3.82	35	37	5
9	3.7	43	42	6
9	3.62	32	43	6
8	4.55	31	30	20
8	4.46	32	37	20
8	4.29	31	34	20
8	3.17	29	31	18
8	2.75	34	33	22
8	2.64	34	31	18
7	5.53	49	28	9
7	4.61	49	25	10
7	4.44	51	31	10
7	4.35	47	26	10
7	4.19	50	30	12
7	2.91	47	30	10
6	4.21	34	20	5
6	4.2	33	23	5
6	3.42	31	20	6
6	3.23	23	23	5
6	3.21	26	21	5
6	3.09	30	26	6
5	3.87	31	41	14
5	3.61	33	41	15
5	3.31	31	39	15
5	2.53	34	41	12
5	2.45	27	43	14
4	3.76	28	36	10
4	3.76	30	31	9
4	3.51	36	32	5
4	3.37	30	32	11
4	3.12	35	29	7
4	2.87	33	28	7
3	3.66	20	19	6
3	3.49	22	18	5
3	3.28	22	15	9
3	3.26	23	17	7
3	2.82	17	20	5
3	2.63	20	14	9
2	3.55	40	12	16
2	3.42	42	13	17
2	3.23	44	13	15
1	3.78	40	15	6
1	3.61	42	15	4
1	3.23	38	16	5
1	3.02	38	18	6
1	2.95	42	17	8
