Cluster Index	Z	x	y	z	
7	6.08	-12	-96	8
7	4.84	-10	-90	-4
7	4.44	-10	-86	-8
7	4.38	-10	-80	-10
7	4.01	-20	-92	14
7	3.91	-2	-80	-8
6	3.61	-30	4	2
6	3.47	-62	18	18
6	3.44	-42	-14	2
6	3.35	-24	8	6
6	3.33	-54	18	10
6	3.24	-38	12	4
5	3.78	36	8	4
5	3.57	42	-12	-2
5	3.52	44	14	0
5	3.48	40	20	2
5	3.4	36	14	8
5	3.4	46	-8	4
4	3.28	2	32	12
4	3.14	-4	48	14
4	3.03	-8	48	18
4	3.02	-2	42	14
4	2.87	2	56	12
4	2.87	0	56	16
3	4.16	-46	34	14
3	3.85	-54	38	6
3	2.75	-58	30	12
2	3.37	60	10	8
2	2.99	64	20	6
2	2.75	70	16	18
1	4.38	8	8	44
1	2.71	22	10	44
1	2.68	-4	8	44
