Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	688	8.86e-13	12.1	4.61	-15	-49.6	34	-4.31	-51.7	41.8	167	-4.48	-50.3	79.3	77.6
7	137	0.000917	3.04	3.99	18.2	24.8	10.2	18.8	28.6	7.5	72.8	14.7	27.9	9.07	43.6
6	134	0.00107	2.97	4.24	49.9	-74	42.7	53	-56.5	32.4	117	53.2	-65.7	35	68.6
5	133	0.00113	2.95	3.93	66.2	-27.1	-2.23	54	-32.7	-1.36	123	66.3	-42.1	-5.61	57.9
4	95	0.00934	2.03	4.64	-6.13	82.2	15.9	-2.48	77.8	15.3	154	-2.75	75.5	4.83	79.8
3	82	0.0204	1.69	3.79	-19.3	21.9	2.56	-17.1	11.9	12.8	77.3	-2.19	17	8.79	47.8
2	73	0.0358	1.45	3.78	8.72	-81.6	-17.4	1.34	-84.9	-14.9	187	1.95	-84.9	-16.1	109
1	72	0.0381	1.42	3.75	55.7	-21.6	-31.3	35.8	-14.8	-20.9	66.5	18.3	-9.94	-12.8	39.2
