Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	688	8.86e-13	12.1	4.61	40	23	17	36.9	21.7	18.6	167	37	19	27	77.6
7	137	0.000917	3.04	3.99	30	46	18	29.8	47.3	17.7	72.8	31	47	18	43.6
6	134	0.00107	2.97	4.24	21	15	17	20	20.8	16.2	117	20	18	16	68.6
5	133	0.00113	2.95	3.93	16	32	11	19.6	30.4	10.7	123	16	28	9	57.9
4	95	0.00934	2.03	4.64	37	62	24	35.9	60.8	23.5	154	36	61	21	79.8
3	82	0.0204	1.69	3.79	41	46	16	40.4	42.3	17.4	77.3	36	44	17	47.8
2	73	0.0358	1.45	3.78	33	18	3	35.2	16.9	3.26	187	35	17	3	109
1	72	0.0381	1.42	3.75	19	36	5	24.9	37.2	7.83	66.5	30	38	10	39.2
