Cluster Index	Z	x	y	z	
8	4.61	40	23	17
8	4.18	37	25	22
8	3.73	37	18	14
8	3.56	35	24	12
8	3.55	33	22	16
8	3.54	37	20	24
7	3.98	30	46	18
7	3.97	32	48	19
7	3.65	29	49	17
7	3.29	29	56	17
7	3.23	27	37	16
7	2.94	27	41	16
6	4.24	21	15	17
6	3.66	23	21	16
6	3.45	23	23	17
6	3.37	18	24	16
6	3.28	20	19	15
5	3.93	16	32	11
5	3.7	23	29	9
5	3.28	25	30	11
5	3.26	15	28	10
5	2.93	27	30	14
5	2.87	24	31	14
4	4.64	37	62	24
4	3.68	32	61	24
4	2.98	41	62	22
3	3.79	41	46	16
3	3.3	40	39	20
3	3.01	37	44	17
3	2.91	42	40	16
3	2.87	36	45	19
2	3.78	33	18	3
2	3.59	35	20	6
2	3.59	35	16	2
2	3.27	37	13	1
1	3.75	19	36	5
1	3.68	30	38	10
1	3.44	22	37	5
1	3.39	25	35	7
1	2.92	22	35	7
1	2.66	27	42	8
