Cluster Index	Z	x	y	z	
8	4.61	-15	-49.6	34
8	4.18	-4.8	-37.2	51.8
8	3.73	-4.69	-68.8	27.6
8	3.56	1.86	-52.1	12.2
8	3.55	8.81	-53.6	30.8
8	3.54	-4.57	-50.7	65.9
7	3.98	18.2	24.8	10.2
7	3.97	11.3	32.2	12
7	3.65	21.4	33.2	2.53
7	3.29	21.2	55.3	-5.81
7	3.23	28.7	-5.88	12.7
7	2.94	28.5	6.78	7.9
6	4.24	49.9	-74	42.7
6	3.66	42.9	-56.3	31.5
6	3.45	42.8	-48.8	33.2
6	3.37	59.8	-46.6	27.7
6	3.28	53.1	-63.7	29.7
5	3.93	66.2	-27.1	-2.23
5	3.7	42.5	-39.3	-6.49
5	3.28	35.6	-33.8	0.551
5	3.26	69.7	-40.9	-1.58
5	2.93	28.9	-30.4	12.9
5	2.87	39.1	-27.1	11.5
4	4.64	-6.13	82.2	15.9
4	3.68	10.9	79.3	16.9
4	2.98	-19.8	79.6	7.93
3	3.79	-19.3	21.9	2.56
3	3.3	-15.6	4.55	27.1
3	3.01	-5.59	17	8.83
3	2.91	-22.5	2.9	9.75
3	2.87	-2.19	22.5	15.7
2	3.78	8.72	-81.6	-17.4
2	3.59	1.9	-71.8	-7.45
2	3.59	1.97	-89.2	-19
2	3.27	-4.74	-100	-19.4
1	3.75	55.7	-21.6	-31.3
1	3.68	18.3	-9.94	-12.8
1	3.44	45.5	-18.6	-32.3
1	3.39	35.4	-22.7	-21.7
1	2.92	45.6	-22.6	-21.8
1	2.66	28.3	0.503	-25.9
