Cluster Index	Z	x	y	z	
7	4.78	33	6	19
7	4.68	34	7	16
7	4.29	33	14	15
7	3.93	33	11	16
7	3.88	31	12	16
7	3.86	33	10	13
6	3.96	19	19	15
6	3.29	23	12	12
6	3.17	26	14	12
6	3.02	20	22	15
6	2.94	18	18	12
6	2.9	21	16	14
5	3.9	19	48	13
5	3.52	21	44	14
5	3.27	18	51	13
4	3.83	48	16	14
4	3.54	45	17	15
4	3.29	50	15	16
4	2.75	48	12	16
3	3.28	45	35	13
3	3.16	45	30	13
3	3.13	43	39	13
3	2.81	42	35	14
3	2.67	41	36	12
2	3.3	20	15	22
2	2.94	19	12	21
2	2.86	22	12	18
2	2.86	23	9	21
2	2.71	21	10	21
1	3.72	35	19	14
1	3.48	37	23	13
1	3.36	33	19	14
1	2.92	35	22	14
