Cluster Index	Z	x	y	z	
7	4.78	-6.14	-96.4	6.88
7	4.68	-9.9	-90.3	-4.64
7	4.29	-5.59	-68.1	-3.78
7	3.93	-5.86	-78.2	-1.86
7	3.88	1.24	-75.5	-1.44
7	3.86	-6.42	-78.5	-15
6	3.96	43.8	-54.9	-2.32
6	3.29	28.5	-72.9	-19.3
6	3.17	18.4	-66.3	-17.3
6	3.02	40.8	-45.6	0.0516
6	2.94	46.8	-55.3	-15.6
6	2.9	36.3	-62.9	-8.35
5	3.9	47.5	35.7	10.8
5	3.52	40.2	22.9	12.3
5	3.27	51.4	44.8	12.8
4	3.83	-57.7	-58.8	-4.07
4	3.54	-47	-57.1	0.328
4	3.29	-64.5	-63.4	3.79
4	2.75	-58	-72.9	1.26
3	3.28	-44.8	-0.0986	5.31
3	3.16	-45.4	-15.4	1.63
3	3.13	-37.3	11.8	7.94
3	2.81	-34.2	-1.5	8.98
3	2.67	-30.8	3.29	1.28
2	3.3	40.8	-73.6	23.9
2	2.94	43.7	-82	17.4
2	2.86	32.8	-78.7	5.42
2	2.86	29.4	-90.6	15.8
2	2.71	36.5	-87.8	16.2
1	3.72	-12	-51.5	-3.92
1	3.48	-18.6	-38.1	-4.8
1	3.36	-5.04	-51.9	-4.24
1	2.92	-11.6	-42.4	-1.71
