Cluster Index	Z	x	y	z	
5	4.39	-30	-68	-40
5	4.18	-24	-86	-26
5	3.96	-22	-78	-36
5	3.71	-32	-70	-18
5	3.41	24	-72	-32
5	3.37	42	-78	-32
4	4.04	26	-42	36
4	3.43	32	-28	46
4	3.34	22	-38	24
4	3.1	32	-44	20
4	3.09	32	-28	70
4	3.01	28	-38	48
3	3.43	-44	-58	0
3	3.28	-30	-70	12
3	3.12	-56	-66	6
3	3.12	-56	-62	4
3	3.04	-50	-70	-6
3	3.02	-26	-62	24
2	3.74	-20	32	-2
2	3.62	-16	22	14
2	3.52	-18	26	8
2	3.49	-20	16	-2
2	3.18	-14	16	-12
2	2.93	-28	30	-16
1	3.51	-2	66	10
1	3.51	-6	60	10
1	3.27	16	62	20
1	3.24	-16	64	22
1	3	18	52	28
1	2.78	4	66	18
