Cluster Index	Z	x	y	z	
6	4.09	40	16	6
6	3.99	40	16	2
6	3.89	22	6	12
6	3.86	34	24	2
6	3.79	44	18	-6
6	3.62	20	12	14
5	4.29	4	-78	0
5	3.2	-8	-78	-10
5	3.14	16	-68	-12
5	3.12	-6	-76	-14
5	3.12	2	-86	-10
5	3.06	-2	-86	-6
4	3.81	-34	14	14
4	3.53	-30	18	-8
4	3.18	-30	26	-2
4	3.08	-48	12	2
4	3.06	-32	12	-4
4	3.03	-42	6	6
3	3.49	36	48	26
3	3.43	36	44	24
3	3.29	34	40	24
3	2.9	34	42	32
3	2.87	46	46	16
3	2.72	26	50	36
2	3.36	-34	-54	-32
2	3.07	-44	-52	-44
2	3.07	-50	-54	-36
2	2.76	-50	-52	-44
2	2.75	-40	-62	-26
2	2.71	-50	-46	-38
1	3.48	-20	-74	-18
1	3.44	-20	-78	-22
1	3.07	-36	-70	-24
1	2.9	-28	-66	-24
1	2.72	-18	-78	-10
1	2.64	-30	-76	-14
