Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	604	4.16e-11	10.4	4.14	44	-54	50	48	-52.4	46.1	274	44	-64	56	90.1
7	226	9.29e-05	4.03	4.44	16	-66	40	12	-72.2	43.6	140	16	-66	40	84.5
6	219	0.000129	3.89	3.51	50	20	46	46.1	16.6	41.5	157	52	20	42	92.2
5	183	0.000738	3.13	4	2	60	20	4.26	52.2	18.6	122	2	58	20	72.4
4	178	0.000948	3.02	3.6	26	56	-10	28	58.9	-8.42	130	34	66	-6	75.1
3	128	0.0134	1.87	4.21	42	54	-4	41.8	54.2	-3.92	139	42	54	-4	89.3
2	121	0.0199	1.7	3.83	-52	-52	-50	-49.8	-55.5	-46.8	80.8	-52	-64	-44	53
1	114	0.0297	1.53	3.3	42	16	-2	46.9	15.1	0.332	91.8	54	14	0	66.8
