Cluster Index	Z	x	y	z	
5	3.66	38.3	-35.5	72.6
5	3.43	52.9	-31.7	58.7
5	3.42	63.9	-15.1	39.4
5	3.32	49.1	-34.2	68
5	3.17	35	-46.4	58
5	3.16	67.3	-17.7	48.7
4	4.56	25.8	-30.7	-39.3
4	3.94	43.4	-58.9	-19
4	3.94	32.7	-42.7	-23.2
4	3.6	39.8	-68.2	-12.3
4	3.35	32.9	-38.8	-37.2
4	2.63	32.8	-30	-28.6
3	3.92	-17.5	-63.3	-16.1
3	3.4	-35.5	-53.1	-12.3
3	3.11	-10.3	-63.3	-16
3	2.94	-21.1	-79.4	-12
3	2.84	-31.7	-57.3	-24.2
3	2.77	-38.7	-51.3	-32.3
2	4.15	-6.28	-50.9	-47.4
2	3.26	-17	-34.7	-51.6
2	2.89	-13.6	-37.3	-42.2
2	2.77	4.39	-52.3	-42.6
1	3.59	39.3	14.8	-1.04
1	3.05	39.1	6.29	16.3
1	2.64	35.6	27.1	8.81
1	2.63	28.5	20.4	6.15
1	2.6	21.2	17.8	15.4
