Cluster Index	Z	x	y	z	
8	4.1	43	41	14
8	3.79	45	41	14
8	3.71	46	48	11
8	3.53	48	41	13
8	3.47	43	40	11
8	3.4	48	45	12
7	4.43	32	53	12
7	3.79	35	55	13
7	3.54	28	46	12
7	3.34	32	48	14
7	3.14	33	45	13
7	2.72	30	47	12
6	3.72	19	34	14
6	3.68	20	40	12
6	3.32	18	33	12
6	3.32	22	41	9
6	3.26	19	37	12
6	3.12	22	40	14
5	3.65	35	46	25
5	3.43	33	41	26
5	3.25	34	41	28
5	2.82	37	43	27
5	2.37	32	43	25
4	3.3	26	56	20
4	3.14	24	55	18
4	3.01	24	53	19
3	3.93	26	54	9
3	3.85	28	49	9
2	4.45	43	9	10
2	4.32	46	12	10
2	3.1	45	7	6
2	2.43	42	7	8
1	3.89	45	22	16
1	3.5	47	21	15
1	3.16	45	17	17
1	3	47	17	17
1	2.6	47	23	14
