Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	91	5.96e-08	7.22	4.1	43	41	14	45.9	41.9	12.2	135	46	43	11	83.5
7	82	2.98e-07	6.53	4.43	32	53	12	32.8	50.6	13.2	177	34	51	14	94.1
6	64	7.81e-06	5.11	3.72	19	34	14	20.1	37.5	11.8	229	19	35	12	107
5	42	0.000623	3.21	3.65	35	46	25	35	42.8	26.2	178	36	47	25	87.3
4	34	0.00367	2.44	3.3	26	56	20	25.1	54.3	19.2	184	24	55	18	77.6
3	33	0.00462	2.34	3.93	26	54	9	25.6	52.7	8.67	162	24	55	8	87.9
2	32	0.00583	2.23	4.45	43	9	10	44	9.13	9.41	434	43	8	11	196
1	24	0.041	1.39	3.89	45	22	16	46.3	20.4	15.8	93.4	47	23	14	61.6
