Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	91	5.96e-08	7.22	4.1	-37.1	17.7	12.7	-47.5	22.5	6.31	135	-47.8	27	2.09	83.5
7	82	2.98e-07	6.53	4.43	2.31	54.9	11	-0.549	46.5	14.4	177	-4.59	47.2	18.2	94.1
6	64	7.81e-06	5.11	3.72	45.7	-6.99	3.92	41.9	5.89	-2.51	229	45.5	-2.13	-3.68	107
5	42	0.000623	3.21	3.65	-7.04	22.1	60.5	-7.32	11.2	63.2	178	-10.4	25.3	61.4	87.3
4	34	0.00367	2.44	3.3	24.7	56.1	45.3	27.7	51.4	40.6	184	31.3	54.6	36	77.6
3	33	0.00462	2.34	3.93	22.9	59.8	-1.7	24.2	56.1	-4.03	162	29.8	63.5	-5.46	87.9
2	32	0.00583	2.23	4.45	-41.4	-77	-26.4	-45	-75.9	-28.6	434	-41.4	-80.9	-22.9	196
1	24	0.041	1.39	3.89	-46	-42.1	7.95	-50.7	-46.7	6.27	93.4	-53.1	-37	0.676	61.6
