Cluster Index	Z	x	y	z	
8	4.1	-37.1	17.7	12.7
8	3.79	-44.1	18	13
8	3.71	-47.2	42.3	5.59
8	3.53	-54.7	19.3	9.3
8	3.47	-37.7	17.3	-0.495
8	3.4	-54.3	32.5	7.96
7	4.43	2.31	54.9	11
7	3.79	-7.76	60.5	17
7	3.54	15.4	32.9	5.46
7	3.34	2.02	37.7	15.8
7	3.14	-1.96	29.6	9.71
7	2.72	8.57	36.2	6.48
6	3.72	45.7	-6.99	3.92
6	3.68	42.6	13.4	-0.0175
6	3.32	48.7	-8.4	-5.24
6	3.32	35.3	19.4	-11.4
6	3.26	45.7	4.01	-2.28
6	3.12	35.9	11.8	8.6
5	3.65	-7.04	22.1	60.5
5	3.43	-0.508	5.62	60.8
5	3.25	-3.7	3.97	69.3
5	2.82	-14.1	11.4	67
5	2.37	3.06	12.5	57.9
4	3.3	24.7	56.1	45.3
4	3.14	31.3	54.6	36
4	3.01	31.2	47.5	38.8
3	3.93	22.9	59.8	-1.7
3	3.85	15.3	44.8	-4.88
2	4.45	-41.4	-77	-26.4
2	4.32	-51.5	-67.3	-23.8
2	3.1	-49.2	-79.2	-44
2	2.43	-38.5	-81.4	-36.2
1	3.89	-46	-42.1	7.95
1	3.5	-53.2	-44.1	3.42
1	3.16	-46.4	-58.4	8.6
1	3	-53.4	-58.1	8.92
1	2.6	-53.1	-37	0.676
