Cluster Index	Z	x	y	z	
7	4.79	35.6	-87.9	-9.95
7	4.72	22.5	-92.7	-6.7
7	4.08	-6.82	-75.2	-10.6
7	4.04	25.8	-87	12.9
7	4.04	52.1	-77.3	-7.16
7	3.87	9.3	-103	17.6
6	4.27	-6.92	-91.4	38.9
6	3.53	-3.77	-101	22.7
6	3.5	-23.4	-95.4	10.9
6	3.42	-20.1	-97.5	19.3
6	3.39	-16.8	-94.1	6.71
6	3.39	-10.3	-92.8	2.53
5	4.04	-23.3	-87.8	-5.02
5	3.74	-39.5	-68.7	-13.1
5	3.62	-29.6	-58.5	-10.4
5	3.61	-42.9	-78.8	-15.9
5	3.48	-39.7	-87.3	4.26
5	3.28	-29.7	-76	-10.7
4	4.61	17.1	10.8	71.5
4	3.86	20.5	21.9	70.1
4	3.84	10.7	22.6	65.8
4	2.75	4.01	13.5	58.9
4	2.74	3.79	-8.42	61.8
4	2.73	7.22	8.14	52.8
3	4.07	53	-1.11	54.5
3	3.21	46.4	-4.58	67.1
3	2.91	66	-4	40.1
3	2.79	49.6	-3.55	35.8
2	3.71	7.84	73.8	3.42
2	3.67	14.3	69.7	6.73
2	3.31	-2.03	69	6.68
2	2.79	-15.2	66.3	1.52
1	4	59.5	5.5	15.7
1	3.54	59.4	-4.41	13
1	2.86	72.7	11.4	8.23
