Cluster Index	Z	x	y	z	
7	4.79	21	10	14
7	4.72	25	9	15
7	4.08	34	14	13
7	4.04	24	12	19
7	4.04	16	13	14
7	3.87	29	8	21
6	4.27	34	13	25
6	3.53	33	9	22
6	3.5	39	10	19
6	3.42	38	10	21
6	3.39	37	10	18
6	3.39	35	10	17
5	4.04	39	11	15
5	3.74	44	16	12
5	3.62	41	19	12
5	3.61	45	13	12
5	3.48	44	12	17
5	3.28	41	14	13
4	4.61	27	44	26
4	3.86	26	47	25
4	3.84	29	47	24
4	2.75	31	44	23
4	2.74	31	38	25
4	2.73	30	42	22
3	4.07	16	39	23
3	3.21	18	39	26
3	2.91	12	37	20
3	2.79	17	37	19
2	3.71	30	57	7
2	3.67	28	56	8
2	3.31	33	56	8
2	2.79	37	55	7
1	4	14	38	14
1	3.54	14	35	14
1	2.86	10	39	12
