Cluster Index	Z	x	y	z	
7	5.17	59.8	-1.85	-7.09
7	4.56	53.1	-18.4	-8.34
7	4.21	50.1	7.55	-43
7	4.04	50	-7.4	-18.8
7	3.94	27.9	5.27	-20.7
7	3.76	47.2	22.6	-32.7
6	3.94	2.26	-56.9	63.8
6	3.89	-1.16	-58.6	38.3
6	3.84	-1.39	-64.9	22.3
6	3.64	-1.1	-40.4	13.6
6	3.33	8.74	-42.7	52.5
6	3.31	-7.77	-60.2	12.9
5	4.41	29.1	42.6	54.3
5	4.25	-5.91	39.5	55.5
5	4.1	32	22.8	53.5
5	3.94	0.505	37.9	64.2
5	3.67	35	17.3	41.5
5	3.61	-2.76	29.3	70.1
4	4.82	36.7	-83.1	46.3
4	4.51	40	-71.3	39.9
4	3.38	27.2	-70.5	27.1
4	3.21	43.6	-46	35.3
3	4.11	-15	-84	-42.9
3	3.57	-43.4	-75.3	-31
3	3.19	-30.7	-81.6	-30.1
3	3.18	-24.4	-84.8	-29.7
2	4.06	-23	-31.6	42.5
2	3.88	-16.6	-23	36.6
2	3.66	-29.1	-18.2	44.6
2	2.96	-13.3	-15.1	26.6
1	4.26	-32.4	14	-25.5
1	4.04	-32.3	22	-18.3
1	3.03	-41.6	28.3	-2.1
