Cluster Index	Z	x	y	z	
6	4.16	-12.2	-74.5	2.74
6	4.15	4.7	-88	32.6
6	4.02	12.5	-66.7	1.98
6	3.37	10.5	-40.4	-3.84
6	3.36	10.1	-75.3	15.1
6	3.33	21.9	-47.9	-0.943
5	4.66	2.83	17.2	55.6
5	4.07	1.52	22.5	37.7
5	3.15	12.3	25.9	42
5	2.42	-5.97	19.5	28.5
4	4.21	-20.7	-59.2	-4.04
4	3.4	-14.4	-47.7	-7.69
4	3.3	-11	-40.8	-2.35
4	3.23	-21.3	-48.3	-2.58
4	2.93	-6.86	-41.5	6.62
3	3.85	-14.6	-72.9	26.5
3	3.73	-13.9	-80.6	30.2
3	3.32	-5.48	-89	42.5
3	3.1	-21.4	-73.4	31.6
3	3.09	-2.18	-75.1	53.5
2	2.97	42.9	-58.8	43
2	2.81	36.9	-70.7	51.2
1	3.56	19.6	-7.68	4.41
1	3.35	8.54	-10.7	-4.56
1	3.24	9.37	-11.9	9.27
1	2.71	-5.21	-11.8	5.65
1	2.7	1.67	-11.3	0.547
