Cluster Index	Z	x	y	z	
6	3.87	41.2	-78.7	35.2
6	3.49	23.5	-69.8	36.8
6	3.25	34	-66.9	41.7
6	3.25	44.6	-72.9	40.7
6	2.97	33.6	-60.1	38
6	2.91	31	-77	45
5	3.6	61	-30.1	60.6
5	3.06	51.4	-47.2	67.8
5	3.04	61.5	-45.8	58.4
5	2.99	51	-51.3	48.3
5	2.97	61.1	-41.6	49.5
5	2.67	57.3	-34.9	45.9
4	3.6	-0.985	22	36.2
4	3.51	10.3	8.2	48.2
4	3.19	-0.479	14.7	44.6
4	3.12	9.72	18.7	40.3
4	3.09	-11.5	24.9	36.8
4	3.01	9.79	12.9	34.7
3	3.59	-24.6	-50.1	-35
3	3.46	-41.9	-56.3	-40.3
3	3.06	-20.9	-56.2	-36
3	2.99	-31.3	-62.3	-41.3
2	3.25	27.4	15.5	44.2
2	3.13	27.8	13.9	58.1
1	5.45	29.9	19.4	11.7
1	3.37	12.6	15.7	11.5
1	2.5	5.69	12.4	11.1
1	2.48	5.9	6.13	10.2
