Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	2001	2.67e-23	22.6	4.02	-2	-66	-8	24.5	-60.1	-14	89.2	-4	-42	-12	38.2
14	1938	9.12e-23	22	4.55	34	20	4	32	7.5	2.89	177	58	22	-6	42.6
13	1802	1.35e-21	20.9	4.7	56	-28	38	46.3	-36.3	46	113	32	-58	62	42.1
12	1749	3.95e-21	20.4	4.76	-64	-22	38	-48.3	-35.4	41.7	124	-60	-32	50	40.9
11	1602	8.14e-20	19.1	4.38	4	16	42	0.638	-5.7	44	95.5	2	6	40	40
10	747	4.01e-11	10.4	4.26	-14	-6	70	-28.3	-3.49	55.4	73.1	-18	-2	70	36.3
9	657	4.77e-10	9.32	4.42	38	50	14	38.7	47.2	21.6	114	40	58	16	45.4
8	429	4.77e-07	6.32	4.87	-56	-66	0	-52.9	-61.5	-4.69	74.2	-56	-66	0	39.1
7	410	8.34e-07	6.08	3.62	-24	-68	38	-15.8	-70	44.4	112	-2	-74	50	45
6	352	5.96e-06	5.22	4.25	-32	24	4	-32.4	26.6	10	68.2	-38	32	22	38.6
5	332	1.2e-05	4.92	4.71	-36	-2	16	-38.1	-6.24	7.51	54.1	-36	-2	16	31.6
4	250	0.000248	3.61	4.28	22	8	62	23.7	6.97	60.7	80.7	18	14	64	45.1
3	226	0.000638	3.2	3.93	30	-10	46	33.6	-4.22	49.8	53.4	38	-4	52	31.3
2	208	0.00133	2.88	3.49	22	-72	-50	23.4	-69.4	-49.7	40.6	22	-72	-50	27.8
1	129	0.0435	1.36	3.96	-46	48	18	-41.3	47.8	18.9	65.6	-46	48	18	41.5
