Cluster Index	Z	x	y	z	
15	4.02	-2	-66	-8
15	4.02	0	-66	-12
15	3.86	24	-58	-14
15	3.79	52	-46	-22
15	3.52	42	-44	-34
15	3.52	42	-60	-10
14	4.55	34	20	4
14	4.46	44	8	0
14	4.37	22	10	4
14	4.2	36	-16	4
14	4.19	-34	12	14
14	4.13	64	14	10
13	4.7	56	-28	38
13	4.34	36	-52	50
13	4.19	62	-16	30
13	4.18	60	-24	38
13	4.16	64	-28	32
13	3.96	32	-46	52
12	4.76	-64	-22	38
12	4.3	-64	-26	28
12	4.28	-48	-42	16
12	4.04	-64	-30	46
12	3.99	-62	-28	18
12	3.69	-42	-40	56
11	4.38	4	16	42
11	4.17	2	6	44
11	3.97	-6	-2	48
11	3.67	2	12	28
11	3.66	14	-28	46
11	3.55	-4	22	26
10	4.26	-14	-6	70
10	3.93	-16	-2	66
10	3.85	-30	-6	60
10	3.61	-18	8	66
10	3.55	-18	0	70
10	3.51	-22	-10	50
9	4.42	38	50	14
9	3.74	34	56	24
9	3.56	50	34	38
9	3.55	38	52	6
9	3.5	42	38	38
9	3.22	44	38	30
8	4.87	-56	-66	0
8	4.84	-56	-62	-6
8	3.59	-50	-58	-10
8	3.31	-44	-48	-8
8	2.85	-60	-58	-16
8	2.76	-44	-66	-4
7	3.62	-24	-68	38
7	3.55	-6	-60	66
7	3.3	-4	-72	50
7	3.25	-4	-74	44
7	3.04	-24	-80	34
7	2.92	-16	-66	56
6	4.25	-32	24	4
6	3.33	-38	32	22
6	3.09	-30	24	26
6	3.01	-32	28	22
6	2.92	-38	32	6
6	2.81	-34	26	14
5	4.71	-36	-2	16
5	3.83	-42	-16	2
5	3.15	-50	-20	6
5	3.04	-40	-10	0
5	2.91	-32	4	4
5	2.52	-46	-26	10
4	4.28	22	8	62
4	4.18	18	10	64
4	3.38	26	0	66
4	2.75	16	0	48
4	2.67	18	6	50
3	3.93	30	-10	46
3	3.67	36	-4	52
3	3.54	30	0	48
3	2.54	28	-16	44
2	3.49	22	-72	-50
2	3.08	32	-56	-42
2	2.9	20	-82	-52
2	2.72	34	-62	-52
2	2.6	30	-66	-48
2	2.38	26	-58	-50
1	3.96	-46	48	18
1	3.46	-40	48	22
1	3	-34	52	22
1	2.57	-42	40	12
