Cluster Index	Z	x	y	z	
7	4.35	54.8	-23.1	35.5
7	3.99	28.8	-38.3	34.9
7	3.91	28.2	-27.6	48.8
7	3.88	31.8	-30.7	37
7	3.71	68.3	-24.6	27.9
7	3.71	13.2	4.72	68.2
6	4.71	15.9	30.2	-0.371
6	4.31	-17.2	22.2	13.8
6	4.15	-15.8	62.6	22.6
6	4.09	-8.22	43	24.8
6	4.08	-5.41	56.7	11.9
6	4	18.1	51.9	27.4
5	4.39	-58.7	-26	57.7
5	3.97	-16.2	-6.64	57.6
5	3.79	-34.8	-34.5	35.4
5	3.59	-28.2	-36.9	62.4
5	3.52	-20.2	8.91	52.5
5	3.48	-28.1	-37.1	49.5
4	4.48	-25.4	-83.8	-30.7
4	4.25	-22.4	-75.2	-37.6
4	4.12	-29.4	-69.3	-39.8
4	3.78	-32.8	-70.2	-18
4	3.57	-33.4	-55.6	-27
4	3.34	-9.36	-71.1	-25.4
3	4.09	49.4	27.8	-2.56
3	3.5	56.3	23.9	-5.37
3	3.28	45.6	35.2	12.2
3	3.15	35.7	33.6	8.02
3	3.09	56.5	17.8	9.55
2	3.94	72.9	-50	10.2
2	3.81	59.9	-58.2	7.93
2	3.43	68.9	-35.3	14
2	3.12	57.2	-71.2	-1.03
2	3.05	50.2	-64.1	0.772
1	4.58	-11	-44.9	31.1
