Cluster Index	Z	x	y	z	
7	4.35	20	44	22
7	3.99	28	48	21
7	3.91	28	46	25
7	3.88	27	46	22
7	3.71	16	44	20
7	3.71	32	38	32
6	4.71	31	25	18
6	4.31	41	28	21
6	4.15	40	17	26
6	4.09	38	23	25
6	4.08	37	18	23
6	4	30	21	26
5	4.39	54	45	28
5	3.97	41	40	29
5	3.79	47	46	22
5	3.59	45	49	28
5	3.52	42	35	29
5	3.48	45	48	25
4	4.48	45	55	3
4	4.25	44	52	2
4	4.12	46	50	2
4	3.78	47	52	7
4	3.57	47	47	6
4	3.34	40	52	5
3	4.09	21	26	17
3	3.5	19	27	16
3	3.28	22	25	21
3	3.15	25	25	20
3	3.09	19	30	19
2	3.94	15	50	14
2	3.81	19	52	13
2	3.43	16	46	16
2	3.12	20	55	10
2	3.05	22	53	11
1	4.58	40	49	20
